canonical_smiles,parent_molecule_chembl_id,parent_pref_name,approved_chembl_ids,approved_pref_names,first_approvals,withdrawn_flags
CC(=O)[C@@]1(C)CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,CHEMBL2106825,MEDROGESTONE,CHEMBL2106825,MEDROGESTONE,,False
O=S(=O)(O)CI,CHEMBL2110978,METHIODAL,CHEMBL2106907;CHEMBL2110978,METHIODAL SODIUM;METHIODAL,,True
COc1cc2c(cc1OC)C(CCc1ccc(Cl)cc1)N(C)CC2,CHEMBL2106915,METHOPHOLINE,CHEMBL2106915,METHOPHOLINE,,True
CCCCCCNC(=N)NC(=N)N,CHEMBL2106939,POLIHEXANIDE,CHEMBL2106939,POLIHEXANIDE,2024,False
O=C([O-])O.[K+],CHEMBL2106975,POTASSIUM BICARBONATE,CHEMBL2106975,POTASSIUM BICARBONATE,,False
COc1cc2[nH]c(C)c(CCN3CCN(c4ccccc4)CC3)c2cc1OC,CHEMBL2107011,OXYPERTINE,CHEMBL2107011,OXYPERTINE,,False
CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,CHEMBL2107067,TESTOSTERONE UNDECANOATE,CHEMBL2107067,TESTOSTERONE UNDECANOATE,2014,False
CN(C)CCCN1c2ccccc2Sc2cccnc21,CHEMBL2111030,PROTHIPENDYL,CHEMBL2107124;CHEMBL2111030,PROTHIPENDYL HYDROCHLORIDE;PROTHIPENDYL,,False
N#Cc1c(N(CC(=O)O)CC(=O)O)sc(C(=O)O)c1CC(=O)O,CHEMBL2107175,RANELIC ACID,CHEMBL2107175;CHEMBL3707306,RANELIC ACID;STRONTIUM RANELATE,2004,False
CN(C(=O)CO)c1c(I)c(C(=O)NCC(O)CO)c(I)c(C(=O)NCC(O)CO)c1I,CHEMBL2107214,IOMEPROL,CHEMBL2107214,IOMEPROL,2024,False
CC(=O)Nc1c(I)c(C(=O)O)c(I)c(C(=O)NCCO)c1I,CHEMBL2107239,IOXITALAMIC ACID,CHEMBL2107239,IOXITALAMIC ACID,,True
COC(=O)/C=C/C(=O)OC,CHEMBL2107333,DIMETHYL FUMARATE,CHEMBL2107333,DIMETHYL FUMARATE,2013,False
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)OCCNC(=O)[C@H](C)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)[C@@H](C)O[C@H]1[C@H](O)[C@@H](CO)OC(O)[C@@H]1NC(C)=O)C(N)=O)OC(=O)CCCCCCCCCCCCCCC,CHEMBL2111100,MIFAMURTIDE ACID,CHEMBL2107354;CHEMBL2111100,MIFAMURTIDE;MIFAMURTIDE ACID,2009,False
CCCCCCCCCCCCCCCC(=O)OC1CCCn2c1nc(C)c(CCN1CCC(c3noc4cc(F)ccc34)CC1)c2=O,CHEMBL2107360,PALIPERIDONE PALMITATE,CHEMBL2107360,PALIPERIDONE PALMITATE,2009,False
CC(=O)OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@H](OC(C)=O)[C@@H]1OC(C)=O,CHEMBL2107381,URIDINE TRIACETATE,CHEMBL2107381,URIDINE TRIACETATE,2015,False
COc1ccc(CCO[C@@H]2CCCC[C@H]2N2CC[C@@H](O)C2)cc1OC,CHEMBL2111112,VERNAKALANT,CHEMBL2107383;CHEMBL2111112,VERNAKALANT HYDROCHLORIDE;VERNAKALANT,2010,False
Fc1ccc(C(c2ccccc2)(c2ccccc2F)n2ccnc2)cc1,CHEMBL2107430,FLUTRIMAZOLE,CHEMBL2107430,FLUTRIMAZOLE,,False
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3CC[C@@]21C,CHEMBL2107431,LYNESTRENOL,CHEMBL2107431,LYNESTRENOL,,True
ClCCN(CCCl)c1ccc2ccccc2c1,CHEMBL2107519,CHLORNAPHAZINE,CHEMBL2107519,CHLORNAPHAZINE,,True
[O-][n+]1cccc(/C(Cl)=N/OC[C@H](O)CN2CCCCC2)c1,CHEMBL2107726,ARIMOCLOMOL,CHEMBL2107726;CHEMBL4298149,ARIMOCLOMOL;ARIMOCLOMOL CITRATE,2024,False
C#CC1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@@H]4[C@H]3CC[C@@]21CC,CHEMBL2107797,NORGESTREL,CHEMBL2107797,NORGESTREL,1968,False
C=Cc1c(C)c2cc3nc(c(CC(=O)N[C@@H](CC(=O)O)C(=O)O)c4[nH]c(cc5nc(cc1[nH]2)C(C)=C5CC)c(C)c4C(=O)O)[C@@H](CCC(=O)O)[C@@H]3C,CHEMBL2111186,TALAPORFIN,CHEMBL2107806;CHEMBL2111186,TALAPORFIN SODIUM;TALAPORFIN,2015,False
