canonical_smiles,molecule_chembl_ids,parent_molecule_chembl_ids,activity_ids,document_chembl_ids,pchembl_values
Nc1nc2c(cnn2CCc2ccccc2)c2nc(-c3ccco3)nn12,CHEMBL17127,CHEMBL17127,200830;307891;307894;943820;943822;1277888;1499633;1601984;2454695;2458562;2563434;2916514;3243712;7985248;13398779;13398790;14645599;16914468;16914478;16914679;16914902;16914955;22756950;23126615;24351920;24777221;25935672,CHEMBL1149198;CHEMBL1149169;CHEMBL1149169;CHEMBL1131246;CHEMBL1131246;CHEMBL1135389;CHEMBL1143541;CHEMBL1143471;CHEMBL1155013;CHEMBL1155026;CHEMBL1155896;CHEMBL1154073;CHEMBL1156165;CHEMBL1932966;CHEMBL2412992;CHEMBL2412992;CHEMBL3259781;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL3885741;CHEMBL4699449;CHEMBL4806962;CHEMBL5030563;CHEMBL5126552;CHEMBL5528085,9.22;8.7;8.49;7.92;8.96;8.96;8.37;8.64;8.7;8.7;9.22;8.96;8.91;8.96;9.22;8.72;8.96;8.71;8.48;7.78;8.4;8.19;8.96;7.4;8.62;8.64;7.82
Nc1nc(C#C[C@H](O)c2ccccc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,CHEMBL408918,CHEMBL408918,201721,CHEMBL1135517,7.54
Nc1cc(C(=O)N2CCCCC2)cn2nc(-c3ccco3)nc12,CHEMBL109753,CHEMBL109753,203305,CHEMBL1149198,6.72
CC1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,CHEMBL110074,CHEMBL110074,204532,CHEMBL1149198,8.4
Nc1cc(C(=O)N2CCCCC2)cc2nc(-c3ccc(Br)o3)nn12,CHEMBL324077,CHEMBL324077,204534,CHEMBL1149198,8.22
CCN(CCc1ccccn1)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,CHEMBL323621,CHEMBL323621,204536,CHEMBL1149198,8.4
CN(CCc1ccccc1)C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,CHEMBL420307,CHEMBL420307,204538,CHEMBL1149198,8.3
CCN(CC)C(=O)C1CCCN(C(=O)c2cc(N)c3nc(-c4ccc(Br)o4)nn3c2)C1,CHEMBL112897,CHEMBL112897,206905,CHEMBL1149198,7.4
Nc1cc(C(=O)N2CCCC2)cn2nc(-c3ccccn3)nc12,CHEMBL112249,CHEMBL112249,206907,CHEMBL1149198,6.72
COC[C@@H]1CCCN1C(=O)c1cc(N)n2nc(-c3ccc(Br)o3)nc2c1,CHEMBL320349,CHEMBL320349,206909,CHEMBL1149198,7.92
